,index,Week Name,Matchup Number,NAME,FGP,FTP,3PM,REB,AST,STL,BLK,TO,PTS,SCORE,WEEK_NUM,Week_WL
0,0,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),1,Team Rocket (13-6),0.4795,0.7863,30,172,66,24,14,56,402,6-3-0,1,1
1,1,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),1,The Dazzling Lobcity Stars (4-15),0.5149,0.7381,27,112,43,14,15,43,331,3-6-0,1,-1
2,2,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),2,Old City Irony (11-7-1),0.5016,0.8168,22,144,63,24,19,42,445,5-4-0,1,1
3,3,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),2,Center City ABDs (7-12),0.388,0.871,25,153,57,23,12,31,273,4-5-0,1,-1
4,4,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),3,Nerlens Jazz (5-13-1),0.4797,0.75,21,138,53,28,27,49,305,3-6-0,1,-1
5,5,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),3,Players Only Meeting (13-5-1),0.4386,0.8804,34,142,88,33,14,66,451,6-3-0,1,1
6,6,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),4,Ithaca is Gorges (9-10),0.4472,0.8375,25,156,72,25,15,68,346,4-5-0,1,-1
7,7,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),4,Too Easy (10-9),0.4375,0.7541,42,161,105,20,14,61,382,5-4-0,1,1
8,8,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),5,Mr Steal  Your Ball (8-9-2),0.4866,0.8161,42,148,86,33,16,52,477,6-3-0,1,1
9,9,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),5,The Real Power (11-8),0.4567,0.8641,29,128,81,22,19,51,392,3-6-0,1,-1
10,10,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),6,Da Bulter is in Town (9-9-1),0.4037,0.7975,33,134,80,26,13,48,314,6-3-0,1,1
11,11,JaVale Vindicated Scoreboard Matchup 1 (Oct 17 - 22),6,Team Orbs (11-8),0.4293,0.7237,18,131,95,12,12,46,243,3-6-0,1,-1
12,12,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),1,The Dazzling Lobcity Stars (4-15),0.4508,0.6719,21,119,50,22,19,44,284,1-8-0,2,-1
13,13,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),1,Ithaca is Gorges (9-10),0.4677,0.7881,45,205,113,40,25,65,500,8-1-0,2,1
14,14,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),2,Team Rocket (13-6),0.4765,0.6587,49,238,94,24,25,55,518,6-3-0,2,1
15,15,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),2,Old City Irony (11-7-1),0.4524,0.7665,46,202,110,20,20,64,592,3-6-0,2,-1
16,16,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),3,Center City ABDs (7-12),0.4542,0.9194,39,87,64,28,6,59,334,3-5-1,2,-1
17,17,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),3,Nerlens Jazz (5-13-1),0.5408,0.8472,26,110,64,13,13,35,339,5-3-1,2,1
18,18,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),4,Players Only Meeting (13-5-1),0.4587,0.7434,49,171,79,26,27,70,477,2-7-0,2,-1
19,19,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),4,Mr Steal  Your Ball (8-9-2),0.4681,0.781,70,164,104,36,12,59,617,7-2-0,2,1
20,20,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),5,Too Easy (10-9),0.5,0.8214,39,178,120,35,26,84,476,8-1-0,2,1
21,21,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),5,Da Bulter is in Town (9-9-1),0.4235,0.76,33,172,103,22,17,73,369,1-8-0,2,-1
22,22,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),6,The Real Power (11-8),0.4711,0.8136,40,173,134,29,15,84,478,5-4-0,2,1
23,23,JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29),6,Team Orbs (11-8),0.5287,0.732,24,219,96,34,13,68,445,4-5-0,2,-1
24,24,JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5),1,Da Bulter is in Town (9-9-1),0.4882,0.8049,58,206,109,24,20,70,569,8-1-0,3,1
25,25,JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5),1,The Dazzling Lobcity Stars (4-15),0.5125,0.7324,55,178,81,22,16,76,517,1-8-0,3,-1
26,26,JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5),2,Old City Irony (11-7-1),0.4821,0.7977,62,213,106,30,24,84,630,7-2-0,3,1
27,27,JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5),2,Nerlens Jazz (5-13-1),0.4739,0.8659,29,122,81,19,12,55,336,2-7-0,3,-1
28,28,JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5),3,Ithaca is Gorges (9-10),0.4461,0.6915,29,189,120,33,24,64,400,3-5-1,3,-1
29,29,JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5),3,Team Rocket (13-6),0.4601,0.7372,38,232,119,32,24,74,545,5-3-1,3,1
30,30,JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5),4,Mr Steal  Your Ball (8-9-2),0.4296,0.8101,70,147,84,37,19,70,494,3-5-1,3,-1
